"id","source_line","requirement","implementation","evidence","status","notes"
"1.1","3","面向 Windows 的轻量项目化多轮提示词记录工具","Tauri 2 + React 本地离线桌面应用；项目/轮次/Markdown 为唯一业务边界","人工：验收报告-0.1.4 中的隔离 EXE 冒烟；自动化：README、APP/PRJ/RND 浏览器测试","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"1.2","3","只记录用户提示词，不记录 AI 回答或绑定特定工具","Tauri 2 + React 本地离线桌面应用；项目/轮次/Markdown 为唯一业务边界","人工：验收报告-0.1.4 中的隔离 EXE 冒烟；自动化：README、APP/PRJ/RND 浏览器测试","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"1.3","3","首版个人使用；未来分发前复核字体、签名和发布方式","Tauri 2 + React 本地离线桌面应用；项目/轮次/Markdown 为唯一业务边界","人工：验收报告-0.1.4 中的隔离 EXE 冒烟；自动化：README、APP/PRJ/RND 浏览器测试","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"1.4","3","启动迅速、操作流畅并保持轻量","Tauri 2 + React 本地离线桌面应用；项目/轮次/Markdown 为唯一业务边界","人工：验收报告-0.1.4 中的隔离 EXE 冒烟；自动化：README、APP/PRJ/RND 浏览器测试","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"1.5","3","界面美观且使用简单","Tauri 2 + React 本地离线桌面应用；项目/轮次/Markdown 为唯一业务边界","人工：验收报告-0.1.4 中的隔离 EXE 冒烟；自动化：README、APP/PRJ/RND 浏览器测试","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"1.6","3","数据安全且长期记录不混乱","Tauri 2 + React 本地离线桌面应用；项目/轮次/Markdown 为唯一业务边界","人工：验收报告-0.1.4 中的隔离 EXE 冒烟；自动化：README、APP/PRJ/RND 浏览器测试","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.1.1","31","界面整体美观、优雅、简洁。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.1.2","32","支持深色模式和多种彩色浅色主题。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.1.3","33","主题配色必须全局生效。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.1.4","34","支持一键切换主题。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.1.5","35","支持流畅但不过度的界面动画。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.1.6","36","主题选择和界面状态应自动保存。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.1.7","37","界面默认使用简体中文。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.1.8","38","界面信息层级必须分明：页面标题、区块标题、正文、辅助说明在字号和字重上拉开明显差距，该加粗的加粗、该放大的放大；不允许所有文字接近同一大小、同一粗细的扁平效果。Markdown 渲染的各级标题也必须有清晰的大小阶梯。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.2.1","42","在“设置 → 外观 → 字体”中提供统一的字体设置页面。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.2.2","43","字体设置至少分为三个互不干扰的作用范围：","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.2.3","48","每个作用范围都可以独立设置字体家族、字号和基础粗细。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.2.4","49","原生 Windows 标题栏等由系统绘制的区域不强制跟随界面字体。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.2.5","50","所有主题共用用户选择的字体设置；切换主题只改变配色，不擅自改变字体。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.2.6","51","首个版本使用全局字体设置，不按项目分别保存字体方案。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.3.1","55","字体选择器支持软件内置字体、当前 Windows 已安装字体和用户导入字体。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.3.2","56","支持导入常见的 `.ttf`、`.otf`、`.woff`、`.woff2` 字体，并支持具有粗细轴的可变字体。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.3.3","57","导入字体时将字体复制到便携版专用数据目录，不依赖原始文件持续存在，也不安装到 Windows 系统字体目录。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.3.4","58","使用文件内容哈希和字体内部名称识别重复导入，避免产生多个相同选项。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.3.5","59","支持搜索字体名称、收藏常用字体，并优先展示推荐字体、收藏字体、最近使用字体和用户导入字体。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.3.6","60","代码字体选择器默认优先展示等宽字体。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.3.7","61","用户可以移除已导入字体；正在使用的字体被移除或丢失时，应先切换到可靠的回退字体并保留原设置记录。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.3.8","62","字体文件损坏、格式不受支持或无法加载时，使用简体中文说明原因，不能导致设置页、编辑器或软件启动失败。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.3.9","63","用户导入字体属于全局外观资源，完整备份应包含其文件和设置；单项目 Markdown 导出不包含字体文件。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.4.1","67","字号使用兼容 Windows 显示缩放的逻辑像素，支持滑杆、加减按钮和直接输入整数。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.4.2","68","界面字体支持 12～22，默认 14；正文字体支持 12～32，默认 16；代码字体支持 11～28，默认 14。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.4.3","69","Markdown 标题字号按正文基础字号保持稳定比例，调整正文字号后仍须保持清晰的标题层级。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.4.4","70","行内代码使用代码字体家族和粗细，但字号跟随所在正文；独立代码字号主要用于围栏代码块。","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
"2.4.5","71","普通设置中只保留以下四档常用粗细：","主题令牌、三类字体设置、系统/内置/导入字体注册、真实字重、回退链与实时预览","theme/markdown 组件测试；字体哈希审计；设置 E2E；font-manifest.json","LOCAL_PASS","实现并纳入本机自动化或桌面验收"
